source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[age]	characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[cultured cell]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[individual]	Characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[fractionation method]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[separation]	comment[file uri]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 1	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_1.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_1.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 2	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	10	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_10.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_10.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 3	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	11	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_11.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_11.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 4	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	12	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_12.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_12.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 5	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	2	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_2.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_2.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 6	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	3	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_3.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_3.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 7	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	4	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_4.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_4.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 8	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	6	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_6.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_6.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 9	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	7	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_7.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_7.raw
Sample 1	Mus musculus	Triceps muscle	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	1	tissue	run 10	proteomics	AC=MS:1002038;NT=label free sample	NT=Off-gel electrophoresis;AC=PRIDE:0000552	8	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=High-performance liquid chromatography;AC=PRIDE:0000565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD000288/20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_8.raw	AC=MS:1000422;NT=HCD	25 NCE	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	6 ppm	20 ppm	20120630_EXQ2_AtDe_SA_WTR_OG_pooled_final_1_8.raw
