source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[phenotype]	characteristics[specimen]	characteristics[biological replicate]	characteristics[ancestry category]	Material Type	assay name	Technology Type	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	Comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	Comment[Dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]
Sample 1	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 1	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDA5Xvzorec1.raw			MDA5Xvzorec1.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 2	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 2	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDA5Xvzorec2.raw			MDA5Xvzorec2.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 3	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 3	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDA5Xvzorec3.raw			MDA5Xvzorec3.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 4	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 4	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDA5Xvzorec4.raw			MDA5Xvzorec4.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 5	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 5	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDA5Xvzorec5.raw			MDA5Xvzorec5.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 6	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 6	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDA5Xvzorec6.raw			MDA5Xvzorec6.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 7	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 7	Technology Type	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDAE64vzorec1.raw			MDAE64vzorec1.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 8	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 8	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDAE64vzorec2.raw			MDAE64vzorec2.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 9	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 9	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDAE64vzorec3.raw			MDAE64vzorec3.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
Sample 10	Homo sapiens	Breast	not available	not available	female	Breast Cancer	Cancerous cell	MDA-MB-231	not available	Disease	not available	1		Cell line	run 10	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002192/MDAE64vzorec4.raw			MDAE64vzorec4.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	35% NCE	6 ppm	20 ppm	MDA-MB-231
