Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[infect]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[enrichment process]	factor value[proteomics data acquisition method]
Sample 1	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 1	proteomic profiling by mass spectrometry	LP1_03_AB_DDA_142.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_03_AB_DDA_142.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 2	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 2	proteomic profiling by mass spectrometry	LP1_04_AB_DDA_142.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_04_AB_DDA_142.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 3	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 3	proteomic profiling by mass spectrometry	LP1_08_AB_DDA_146.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_08_AB_DDA_146.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 4	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 4	proteomic profiling by mass spectrometry	LP1_10_AB_DDA_150.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_10_AB_DDA_150.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 5	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 5	proteomic profiling by mass spectrometry	LP1_13_AB_DDA_154.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_13_AB_DDA_154.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 6	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 6	proteomic profiling by mass spectrometry	LP1_18_AB_DDA_158.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_18_AB_DDA_158.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 7	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 7	proteomic profiling by mass spectrometry	LP1_19_AB_DDA_162.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_19_AB_DDA_162.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 8	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	no enrichment	cell	run 8	proteomic profiling by mass spectrometry	LP1_23_AB_DDA_166.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_23_AB_DDA_166.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 9	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	1	no enrichment	cell	run 9	proteomic profiling by mass spectrometry	LP1_01_AB_DIA_139.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_01_AB_DIA_139.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 10	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	2	no enrichment	cell	run 10	proteomic profiling by mass spectrometry	LP1_02_AB_DIA_140.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_02_AB_DIA_140.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	AC=MS:1000422;NT=HCD	27% NCE	not available	not available	no enrichment	NT=Data-Independent Acquisition;AC=NCIT:C161786
