Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[infect]	Characteristics[multiplicities of infection]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[time]	Factor Value[multiplicities of infection]
Sample 1	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10445_MS20-17_CoV2_J1(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10445_MS20-17_CoV2_J1(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	1 day	0.01
Sample 2	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10446_MS20-17_CoV2_J1(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10446_MS20-17_CoV2_J1(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	2 day	0.001
Sample 3	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10447_MS20-17_CoV2_J2(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10447_MS20-17_CoV2_J2(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	2 days	0.01
Sample 4	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10448_MS20-17_CoV2_J2(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10448_MS20-17_CoV2_J2(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	2 days	0.001
Sample 5	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10449_MS20-17_CoV2_J3(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10449_MS20-17_CoV2_J3(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	3 days	0.01
Sample 6	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10450_MS20-17_CoV2_J3(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10450_MS20-17_CoV2_J3(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	3 days	0.001
Sample 7	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10451_MS20-17_CoV2_J4(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10451_MS20-17_CoV2_J4(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	4 days	0.01
Sample 8	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10452_MS20-17_CoV2_J4(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10452_MS20-17_CoV2_J4(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	4 days	0.001
Sample 9	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10453_MS20-17_CoV2_J7(MOI-01).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10453_MS20-17_CoV2_J7(MOI-01).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	7 days	0.01
Sample 10	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	Q10454_MS20-17_CoV2_J7(MOI-001).raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10454_MS20-17_CoV2_J7(MOI-001).raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	7 days	0.001
