source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	Material Type	assay name	Technology Type	comment[data file]	comment[fraction identifier]	comment[file uri]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[cell line]
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 1	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_1.raw	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_1.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 2	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_10.raw	10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_10.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 3	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_11.raw	11	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_11.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 4	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_12.raw	12	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_12.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 5	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_13.raw	13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_13.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 6	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_14.raw	14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_14.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 7	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_15.raw	15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_15.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 8	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_16.raw	16	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_16.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 9	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_17.raw	17	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_17.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 10	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_18.raw	18	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_18.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 11	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_19.raw	19	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_19.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 12	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_2.raw	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_2.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 13	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_20.raw	20	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_20.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 14	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_3.raw	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_3.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 15	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_4.raw	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_4.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 16	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_5.raw	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_5.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 17	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_6.raw	6	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_6.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
Sample 1	Homo sapiens	Colon	HCT116	caucasian	48Y	Male	Colorectal cancer	epithelial	adult	not available	cell line	Run 18	proteomic profiling by mass spectrometry	20181120_HCT116_P&ACN_down_7.raw	7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20181120_HCT116_P&ACN_down_7.raw	NT=Trypsin/P;AC=MS:1001313	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1002038;NT=label free sample	0.5 Da	20 ppm	HCT116
