source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	plasmodium falciparum	not available	merozoites	not applicable	1	run 1	3D7	PXD001684	20111203EL02.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL02.RAW	1	1	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 2	plasmodium falciparum	not available	merozoites	not applicable	1	run 2	3D7	PXD001684	20111203EL03.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL03.RAW	1	2	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 3	plasmodium falciparum	not available	merozoites	not applicable	1	run 3	3D7	PXD001684	20111203EL04.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL04.RAW	1	3	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 4	plasmodium falciparum	not available	merozoites	not applicable	1	run 4	3D7	PXD001684	20111203EL05.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL05.RAW	1	4	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 5	plasmodium falciparum	not available	merozoites	not applicable	1	run 5	3D7	PXD001684	20111203EL06.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL06.RAW	1	5	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 6	plasmodium falciparum	not available	merozoites	not applicable	1	run 6	3D7	PXD001684	20111203EL07.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL07.RAW	1	6	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 7	plasmodium falciparum	not available	merozoites	not applicable	1	run 7	3D7	PXD001684	20111203EL08.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL08.RAW	1	7	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 8	plasmodium falciparum	not available	merozoites	not applicable	1	run 8	3D7	PXD001684	20111203EL09.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL09.RAW	1	8	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 9	plasmodium falciparum	not available	merozoites	not applicable	1	run 9	3D7	PXD001684	20111203EL10.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL10.RAW	1	9	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 10	plasmodium falciparum	not available	merozoites	not applicable	1	run 10	3D7	PXD001684	20111203EL11.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111203EL11.RAW	1	10	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
