source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[compound]	characteristics[concentration of]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Akt-1/2	0.1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 1	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_0-1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_0-1_rep4_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 2	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Akt-1/2	0.1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 2	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_0-1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_0-1_rep5_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 3	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Akt-1/2	0.1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 3	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_0-1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_0-1_rep6_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 4	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Akt-1/2	1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 4	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_1_rep4_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 5	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Akt-1/2	1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 5	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_1_rep5_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 6	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors Akt-1/2	1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 6	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_Akt-1-2_1_rep6_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 7	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors MK-2206	0.1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 7	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_0-1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_0-1_rep4_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 8	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors MK-2206	0.1 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 8	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_0-1_rep5_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_0-1_rep5_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 9	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors MK-2206	0.1 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 9	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_0-1_rep6_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_0-1_rep6_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
Sample 10	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	kinase inhibitors MK-2206	1 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 10	proteomic profiling by mass spectrometry	20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_1_rep4_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180202_QE7_nLC7_DBJ_SA_DIAphos_RPE1_Akti_MK-2206_1_rep4_01.raw	1	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available
