source name	characteristics[organism]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	plasmodium falciparum	schizonts	not applicable	1	run 1	3D7	PXD020381	PAB9299A13RW21_A1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW21_A1.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 2	plasmodium falciparum	schizonts	not applicable	1	run 2	3D7	PXD020381	PAB9299A13RW23_A2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW23_A2.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 3	plasmodium falciparum	schizonts	not applicable	1	run 3	3D7	PXD020381	PAB9299A13RW25_A3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW25_A3.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 4	plasmodium falciparum	schizonts	not applicable	1	run 4	3D7	PXD020381	PAB9299A13RW27_A4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW27_A4.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 5	plasmodium falciparum	schizonts	not applicable	1	run 5	3D7	PXD020381	PAB9299A13RW29_A5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW29_A5.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 6	plasmodium falciparum	schizonts	not applicable	1	run 6	3D7	PXD020381	PAB9299A13RW31_A6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW31_A6.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 7	plasmodium falciparum	schizonts	not applicable	1	run 7	3D7	PXD020381	PAB9299A13RW33_A7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW33_A7.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 8	plasmodium falciparum	schizonts	not applicable	1	run 8	3D7	PXD020381	PAB9299A13RW35_A8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9299A13RW35_A8.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 9	plasmodium falciparum	schizonts	not applicable	1	run 9	3D7	PXD020381	PAB9658A13RW22_A1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9658A13RW22_A1.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
Sample 10	plasmodium falciparum	schizonts	not applicable	1	run 10	3D7	PXD020381	PAB9658A13RW24_A2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD020381/PAB9658A13RW24_A2.raw	1	1	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	MSA SPS	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable"	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable"	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	10 ppm	0.02 Da
