source name	characteristics[organism]	characteristics[disease]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[organism part]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[depletion]	assay name	technology type	comment[label]	comment[proteomexchange accession number]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[ms2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	1	00522_A01_P003811_B0A_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A01_P003811_B0A_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	2	00522_B01_P003811_B0B_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B01_P003811_B0B_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	3	00522_C01_P003811_B0C_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C01_P003811_B0C_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	4	00522_D01_P003811_B0D_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D01_P003811_B0D_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	5	00522_E01_P003811_B0E_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E01_P003811_B0E_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	6	00522_F01_P003811_B0F_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F01_P003811_B0F_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	7	00522_G01_P003811_B0G_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G01_P003811_B0G_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	8	00522_H01_P003811_B0H_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H01_P003811_B0H_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	9	00522_A02_P003811_B0I_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A02_P003811_B0I_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	10	00522_B02_P003811_B0J_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B02_P003811_B0J_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	11	00522_C02_P003811_B0K_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C02_P003811_B0K_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	12	00522_D02_P003811_B0L_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D02_P003811_B0L_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	13	00522_E02_P003811_B0M_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E02_P003811_B0M_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	14	00522_F02_P003811_B0N_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F02_P003811_B0N_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	15	00522_G02_P003811_B0O_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G02_P003811_B0O_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	16	00522_H02_P003811_B0P_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H02_P003811_B0P_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	17	00522_A03_P003811_B0Q_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_A03_P003811_B0Q_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	18	00522_B03_P003811_B0R_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B03_P003811_B0R_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	19	00522_C03_P003811_B0S_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C03_P003811_B0S_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
Sample 1	homo sapiens	colon adenocarcinoma	not available	not available	colon	colorectum	male	70Y	epithelial	COLO205	1	no depletion	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	PXD005940	1	20	00522_D03_P003811_B0T_A00_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D03_P003811_B0T_A00_R1.raw	NT=orbitrap;AC=MS:1000484	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=LDS-PAGE;AC=CHMO:0001023	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	20 ppm	20 ppm	COLO205
