source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	non-tumorous liver tissue	run 1	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00066.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00066.raw
Sample 2	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	CCC tumor tissue	run 2	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00068.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00068.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	non-tumorous liver tissue	run 3	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00070.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00070.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	CCC tumor tissue	run 4	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00072.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00072.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	non-tumorous liver tissue	run 5	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00074.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00074.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	CCC tumor tissue	run 6	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00076.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00076.raw
Sample 7	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	non-tumorous liver tissue	run 7	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00078.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00078.raw
Sample 8	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	CCC tumor tissue	run 8	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00080.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00080.raw
Sample 9	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	CCC tumor tissue and non-tumorous liver tissue	run 9	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00082.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00082.raw
Sample 10	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	non-tumorous liver tissue	run 10	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00084.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00084.raw
Sample 11	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	CCC tumor tissue	run 11	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00086.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00086.raw
Sample 12	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	non-tumorous liver tissue	run 12	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00088.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00088.raw
