source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 1	PXD009909	70JG_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_01.raw	1	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 2	PXD009909	70JG_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_02.raw	2	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 3	PXD009909	70JG_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_03.raw	3	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 4	PXD009909	70JG_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_04.raw	4	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 5	PXD009909	70JG_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_05.raw	5	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 6	PXD009909	70JG_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_06.raw	6	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 7	PXD009909	70JG_07.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_07.raw	7	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 8	PXD009909	70JG_08.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_08.raw	8	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 9	PXD009909	70JG_09.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_09.raw	9	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 10	PXD009909	70JG_10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_10.raw	10	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 11	PXD009909	70JG_11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_11.raw	11	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
Sample 1	mus musculus	Retina	not applicable	30 weeks	not applicable	not available	Normal	not applicable	1	run 12	PXD009909	70JG_12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD009909/70JG_12.raw	12	AC=MS:1000639;NT=Orbitrap Fusion	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	label free	0.6 Da	10 ppm	1
