source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	characteristics[treatment]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[instrument]	comment[MS2 analyzer type]	comment[depletion]	comment[collision energy]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[number of missed cleavages]	factor value[treatment]
sample1	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	1	cell	OEII15601	proteomic profiling by mass spectrometry	OEII15601.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15601.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	Cu complex
sample2	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	2	cell	OEII15607	proteomic profiling by mass spectrometry	OEII15607.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15607.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	Cu complex
sample3	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	3	cell	OEII15617	proteomic profiling by mass spectrometry	OEII15617.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15617.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	Cu complex
sample4	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	4	cell	OEII15629	proteomic profiling by mass spectrometry	OEII15629.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15629.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	Cu complex
sample5	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	5	cell	OEII15635	proteomic profiling by mass spectrometry	OEII15635.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15635.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	Cu complex
sample6	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	Cu complex	6	cell	OEII15637	proteomic profiling by mass spectrometry	OEII15637.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15637.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	Cu complex
sample7	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	1	cell	OEII15605	proteomic profiling by mass spectrometry	OEII15605.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15605.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	DMSO
sample8	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	2	cell	OEII15609	proteomic profiling by mass spectrometry	OEII15609.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15611.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	DMSO
sample9	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	3	cell	OEII15611	proteomic profiling by mass spectrometry	OEII15611.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15613.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	DMSO
sample10	homo sapiens	NT=Liver;AC=NCIT:C12392	epithelial cell	NT=hepatocellular carcinoma;AC=DOID:684	NT=HepG2;AC=EFO:0001187	DMSO	4	cell	OEII15619	proteomic profiling by mass spectrometry	OEII15619.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15619.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=linear ion trap;AC=MS:1000291	not available	35% NCE	NT=collision-induced dissociation;AC=MS:1000133	NT=Trypsin;AC=MS:1001251;CS=(??[KR])(?!P)	NT=Oxidation;MT=Variable;AC=Unimod:35;TA=M	NT=Carbamidomethyl;MT=Fixed;AC=Unimod:4;TA=C	5 ppm	0.4 Da	1	DMSO
