source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[data file]	comment[associated file uri]	characteristics[fraction identifier]	comment[label]	characteristics[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	material type	factor value[organism part]
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr1.raw	1	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr2.raw	2	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr3.raw	3	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr4.raw	4	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr5.raw	5	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr6.raw	6	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT1.raw	8	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT2.raw	9	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 1	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT3.raw	10	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 2	homo sapiens	NA	NA	NA	Female	normal	NA	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr1.raw	1	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
