source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 1	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/03552_GA1_P_041575_P00_A00_30min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	03552_GA1_P_041575_P00_A00_30min_R1.raw
Sample 2	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/190803_15cm_3_Hela_2ug_60min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	190803_15cm_3_Hela_2ug_60min_R1.raw
Sample 3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 3	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/191004_3435_P3_Panc_5ug_60min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	191004_3435_P3_Panc_5ug_60min_R1.raw
Sample 4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 4	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/191006_3435_A3_Panc_5ug_60min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	191006_3435_A3_Panc_5ug_60min_R1.raw
Sample 5	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 5	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/191114_P0_PROCAL_500fmol_30min_R2.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	191114_P0_PROCAL_500fmol_30min_R2.raw
Sample 6	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 6	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/191116_P0_HelaY_5ug_60min_QC_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	191116_P0_HelaY_5ug_60min_QC_R1.raw
Sample 7	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	1	not available	run 7	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/191116_P0_PROCAL_500fmol_30min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	191116_P0_PROCAL_500fmol_30min_R1.raw
Sample 8	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 8	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/200726_A3_HelaQC_2000ng_60min_50ul_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	200726_A3_HelaQC_2000ng_60min_50ul_R1.raw
Sample 9	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 9	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/200802_Hela_2ug_10min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	200802_Hela_2ug_10min_R1.raw
Sample 10	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 10	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/200802_Hela_2ug_120min_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	200802_Hela_2ug_120min_R1.raw
