source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[compound]
Sample 1	Homo sapiens	B lymphocyte	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	1	cell	run 1	proteomic profiling by mass spectrometry	UM_2009_1432a-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1432a-SUDHL4.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 1	Homo sapiens	B lymphocyte	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	1	cell	run 2	proteomic profiling by mass spectrometry	UM_2009_1432b-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1432b-SUDHL4.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 1	Homo sapiens	B lymphocyte	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	1	cell	run 3	proteomic profiling by mass spectrometry	UM_2009_1432c-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1432c-SUDHL4.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 2	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	1	cell	run 4	proteomic profiling by mass spectrometry	UM_2009_1433a-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1433a-KMH2.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 2	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	1	cell	run 5	proteomic profiling by mass spectrometry	UM_2009_1433b-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1433b-KMH2.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 2	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	1	cell	run 6	proteomic profiling by mass spectrometry	UM_2009_1433c-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1433c-KMH2.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
Sample 3	Homo sapiens	lymphoblast	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	2	cell	run 7	proteomic profiling by mass spectrometry	UM_2009_1603_a-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1603_a-SUDHL4.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 3	Homo sapiens	lymphoblast	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	2	cell	run 8	proteomic profiling by mass spectrometry	UM_2009_1603_b-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1603_b-SUDHL4.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 3	Homo sapiens	lymphoblast	38Y	male	Transformed follicular lymphoma	Caucasian	B lymphocyte	SU-DHL-4	no compound	glycosylation	2	cell	run 9	proteomic profiling by mass spectrometry	UM_2009_1603_c-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1603_c-SUDHL4.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	SU-DHL-4	no compound
Sample 4	Homo sapiens	thyroid	71Y	male	Classical Hodgkin lymphoma	not available	not available	KMH2	no compound	glycosylation	2	cell	run 10	proteomic profiling by mass spectrometry	UM_2009_1604_a-KMH2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_1604_a-KMH2.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	KMH2	no compound
