Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	assay name	Technology Type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type
Sample 1	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	cell
Sample 2	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	not available	2	run 2	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	cell
Sample 3	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	not available	3	run 3	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	cell
Sample 4	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20140115_EXQ6_FaCo_SA_CL_OVCA433_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20140115_EXQ6_FaCo_SA_CL_OVCA433_A.RAW	cell
Sample 5	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	not available	2	run 5	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVCA433_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVCA433_B.RAW	cell
Sample 6	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	not available	3	run 6	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131222_EXQ2_FaCo_SA_CL_OVCA433_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131222_EXQ2_FaCo_SA_CL_OVCA433_C.RAW	cell
Sample 7	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	not available	1	run 7	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVISE_A.RAW	cell
Sample 8	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	not available	2	run 8	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVISE_B.RAW	cell
Sample 9	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	not available	3	run 9	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVISE_C.RAW	cell
Sample 10	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	1	run 10	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.RAW	cell
Sample 11	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	2	run 11	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	cell
Sample 12	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	3	run 12	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	cell
Sample 13	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	1	run 13	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	cell
Sample 14	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	2	run 14	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	cell
Sample 15	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	not available	3	run 15	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	cell
Sample 16	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	not available	1	run 16	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	cell
