source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]
Sample 1	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15092277-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15092277-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 2	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15092281-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15092281-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 3	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15092305-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15092305-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 4	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101141-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101141-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 5	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101145-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101145-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 6	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101153-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101153-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 7	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101161-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101161-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 8	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101171-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101171-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 9	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101175-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101175-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 10	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101183-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101183-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 11	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101191-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101191-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 12	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160301_Haura-SCC-PG-06S15101195-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160301_Haura-SCC-PG-06S15101195-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 13	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15092272-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15092272-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 14	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15092306-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15092306-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 15	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101114-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101114-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 16	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101126-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101126-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 17	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101131-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101131-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 18	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101135-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101135-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 19	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101136-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101136-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 20	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101174-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101174-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 21	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101188-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101188-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 22	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101194-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101194-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 23	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101198-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101198-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 24	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160302_Haura-SCC-PG-06S15101203-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160302_Haura-SCC-PG-06S15101203-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 25	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160303_Haura-SCC-PG-06S15092273-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160303_Haura-SCC-PG-06S15092273-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
Sample 26	Homo sapiens	lung	adult	squamous cell lung cancer	not available	not available	not applicable	not available	not applicable	1	tissue	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20160303_Haura-SCC-PG-06S15092288-DIA.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010357/20160303_Haura-SCC-PG-06S15092288-DIA.raw	1	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1001911	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	450 m/z	1080 m/z
