Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[sex]	Characteristics[disease]	Characteristics[individual]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 1	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_1.raw	liver_1_1.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 2	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_2.raw	liver_1_2.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 3	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_3.raw	liver_1_3.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 4	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_4.raw	liver_1_4.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 5	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_5.raw	liver_1_5.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 6	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_6.raw	liver_1_6.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 7	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	7	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_7.raw	liver_1_7.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 8	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	8	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_8.raw	liver_1_8.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 9	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	9	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_9.raw	liver_1_9.raw	tissue
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	not available	not applicable	not applicable	run 10	AC=MS:1002038;NT=label free sample	AC= MS:1002523;NT=Q Exactive HF	10	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	"AC=UNIMOD:7;NT=Deamidated;MT=Variable;TA=N,Q"	20 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD006833/liver_1_10.raw	liver_1_10.raw	tissue
