source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[phenotype]	characteristics[specimen]	characteristics[biological replicate]	characteristics[ancestry category]	Material Type	assay name	Technology Type	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	Comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[phenotype]
Sample 1	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	1		Cell line	run 1	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100811a.raw			q100811a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 2	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	1		Cell line	run 2	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100811b.raw			q100811b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 3	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	2		Cell line	run 3	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100812a.raw			q100812a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 4	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	2		Cell line	run 4	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100812b.raw			q100812b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 5	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	3		Cell line	run 5	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100813a.raw			q100813a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 6	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	3		Cell line	run 6	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100813b.raw			q100813b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 7	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	4		Cell line	run 7	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100904a.raw			q100904a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 8	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	4		Cell line	run 8	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100904b.raw			q100904b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	0h_Site_level
Sample 9	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	1		Cell line	run 9	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100905a.raw			q100905a.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	24h_Site_level
Sample 10	Homo sapiens	Bone	not available	not available	female	Osteosarcoma	Human Bone Osteosarcoma Epithelial Cells	U2OS Cell line	not available	Disease	not available	1		Cell line	run 10	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001736/q100905b.raw			q100905b.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	NT = Sumoylation ;AC=UNIMOD:877;TA=K;MT=Variable	NT = Phosphorylation ;AC=UNIMOD:21;TA= S,T,Y;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	25% NCE	6 ppm	20 ppm	24h_Site_level
