#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics
#template_version=v1.1.0
source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[growth stage]	characteristics[growth condition]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[medium]	characteristics[medium supplements]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	factor value[medium]
LE1	1	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE1_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31906AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium
LS1	1	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS1_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31908AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium
GE1	1	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE1_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31910AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose
GS1	1	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS1_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31912AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose
AE1	1	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE1_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31914AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + acetate
AS1	1	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS1_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31916AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + acetate
LE2	2	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE2_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31921AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium
LS2	2	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS2_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31923AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium
GE2	2	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE2_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31925AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose
GS2	2	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS2_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31927AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose
