source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[phenotype]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fractionation method]	comment[file uri]	factor value[phenotype]
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 1	111229_pHL01.raw	1	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL01.raw	non-metastatic SW480 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 2	111229_pHL02.raw	2	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL02.raw	non-metastatic SW481 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 3	111229_pHL03.raw	3	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL03.raw	non-metastatic SW482 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 4	111229_pHL04.raw	4	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL04.raw	non-metastatic SW483 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 5	111229_pHL05.raw	5	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL05.raw	non-metastatic SW484 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 6	111229_pHL06.raw	6	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL06.raw	non-metastatic SW485 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 7	111229_pHL07.raw	7	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL07.raw	non-metastatic SW486 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 8	111229_pHL08.raw	8	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL08.raw	non-metastatic SW487 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 9	111229_pHL09.raw	9	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL09.raw	non-metastatic SW488 cell line
pHL_SW480	Homo sapiens	Colorectum	not available	SW480	not available	not available	not available	Colorectal adenocarcinoma	not available	non-metastatic SW480 cell line	run 10	111229_pHL10.raw	10	SILAC heavy	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Label:13C(6);MT=variable;TA=K;AC=UNIMOD:188	NT=Label:13C(6)15N(4);MT=variable;TA=R;AC=UNIMOD:267	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000207.0/111229_pHL10.raw	non-metastatic SW489 cell line
